DATE,COUNTRY,PRODUCT,SALES
01-01-2023,UK,TV,646
01-01-2023,UK,PHONE,241
02-01-2023,US,TV,266
02-01-2023,INDIA,IPHONE,877
02-01-2023,GERMANY,IPHONE,220
02-01-2023,GERMANY,SPEAKERS,336
02-01-2023,GERMANY,PHONE,469
02-01-2023,INDIA,TV,913
02-01-2023,US,SPEAKERS,571
03-01-2023,GERMANY,SPEAKERS,525
03-01-2023,US,IPHONE,847
03-01-2023,US,IPHONE,606
04-01-2023,UK,IPHONE,305
04-01-2023,INDIA,SPEAKERS,200
04-01-2023,INDIA,SPEAKERS,736
05-01-2023,GERMANY,TV,137
05-01-2023,GERMANY,PHONE,432
05-01-2023,GERMANY,TV,954
05-01-2023,INDIA,TAB,221
05-01-2023,INDIA,IPHONE,848
05-01-2023,UK,TV,298
06-01-2023,US,IPHONE,558
06-01-2023,GERMANY,PHONE,933
06-01-2023,INDIA,TV,86
06-01-2023,US,PHONE,295
06-01-2023,UK,PHONE,333
06-01-2023,UK,TV,887
07-01-2023,UK,TV,552
07-01-2023,US,SPEAKERS,478
07-01-2023,UK,PHONE,959
08-01-2023,US,TV,727
09-01-2023,INDIA,TAB,197
12-01-2023,UK,TV,2
12-01-2023,INDIA,IPHONE,853
12-01-2023,UK,TV,852
13-01-2023,US,PHONE,53
13-01-2023,INDIA,IPHONE,715
14-01-2023,GERMANY,PHONE,539
14-01-2023,UK,TAB,470
15-01-2023,INDIA,PHONE,618
16-01-2023,US,SPEAKERS,219
16-01-2023,US,TV,854
16-01-2023,US,TAB,262
17-01-2023,UK,TV,240
18-01-2023,INDIA,PHONE,265
18-01-2023,INDIA,PHONE,376
18-01-2023,GERMANY,TV,29
19-01-2023,GERMANY,SPEAKERS,447
19-01-2023,INDIA,IPHONE,224
20-01-2023,UK,TAB,790
20-01-2023,US,PHONE,76
20-01-2023,INDIA,PHONE,429
21-01-2023,GERMANY,TAB,835
22-01-2023,INDIA,TV,210
22-01-2023,GERMANY,TAB,133
22-01-2023,US,SPEAKERS,271
23-01-2023,US,TV,580
23-01-2023,INDIA,TV,274
23-01-2023,INDIA,SPEAKERS,880
24-01-2023,INDIA,PHONE,100
24-01-2023,US,TAB,128
25-01-2023,UK,PHONE,249
25-01-2023,US,IPHONE,319
25-01-2023,UK,TAB,301
25-01-2023,US,PHONE,995
25-01-2023,UK,SPEAKERS,151
25-01-2023,INDIA,IPHONE,141
25-01-2023,INDIA,PHONE,383
26-01-2023,US,PHONE,542
26-01-2023,US,IPHONE,641
26-01-2023,US,TAB,890
27-01-2023,US,TAB,711
27-01-2023,UK,TAB,836
27-01-2023,UK,SPEAKERS,283
27-01-2023,INDIA,SPEAKERS,552
28-01-2023,INDIA,TV,309
28-01-2023,US,IPHONE,197
28-01-2023,US,TV,1000
29-01-2023,GERMANY,SPEAKERS,331
29-01-2023,UK,PHONE,854
30-01-2023,INDIA,PHONE,1200
30-01-2023,US,TAB,447
30-01-2023,INDIA,TAB,981
30-01-2023,US,SPEAKERS,952
31-01-2023,GERMANY,PHONE,182
31-01-2023,INDIA,TV,158
31-01-2023,GERMANY,TV,97
01-02-2023,GERMANY,SPEAKERS,286
01-02-2023,INDIA,SPEAKERS,175
02-02-2023,US,IPHONE,270
02-02-2023,US,PHONE,810
02-02-2023,US,IPHONE,147
02-02-2023,US,PHONE,746
02-02-2023,UK,SPEAKERS,568
02-02-2023,US,IPHONE,112
03-02-2023,UK,SPEAKERS,454
04-02-2023,INDIA,PHONE,496
05-02-2023,INDIA,SPEAKERS,187
05-02-2023,GERMANY,PHONE,23
05-02-2023,GERMANY,PHONE,395
05-02-2023,GERMANY,TAB,14
06-02-2023,GERMANY,TV,149
06-02-2023,GERMANY,TAB,975
06-02-2023,US,PHONE,215
06-02-2023,GERMANY,TAB,157
07-02-2023,US,PHONE,643
07-02-2023,UK,IPHONE,823
08-02-2023,GERMANY,TAB,524
08-02-2023,GERMANY,IPHONE,158
08-02-2023,US,SPEAKERS,144
09-02-2023,GERMANY,TAB,534
09-02-2023,US,TV,345
09-02-2023,INDIA,TAB,590
09-02-2023,GERMANY,SPEAKERS,841
09-02-2023,GERMANY,PHONE,551
10-02-2023,INDIA,SPEAKERS,227
10-02-2023,UK,IPHONE,377
10-02-2023,GERMANY,TAB,27
10-02-2023,INDIA,PHONE,930
10-02-2023,GERMANY,TAB,576
11-02-2023,GERMANY,TAB,19
11-02-2023,US,TV,156
11-02-2023,INDIA,SPEAKERS,279
11-02-2023,UK,IPHONE,643
11-02-2023,US,TAB,208
12-02-2023,US,TV,842
13-02-2023,UK,PHONE,692
13-02-2023,UK,SPEAKERS,422
13-02-2023,US,PHONE,525
13-02-2023,INDIA,TV,629
14-02-2023,INDIA,SPEAKERS,162
14-02-2023,GERMANY,PHONE,827
15-02-2023,UK,TAB,447
15-02-2023,UK,IPHONE,43
15-02-2023,US,SPEAKERS,418
15-02-2023,UK,SPEAKERS,221
15-02-2023,INDIA,PHONE,260
16-02-2023,US,TV,559
16-02-2023,INDIA,IPHONE,62
16-02-2023,INDIA,PHONE,503
16-02-2023,US,SPEAKERS,926
17-02-2023,UK,TAB,993
17-02-2023,UK,TAB,331
17-02-2023,INDIA,TV,187
18-02-2023,US,TAB,110
19-02-2023,UK,TAB,861
19-02-2023,GERMANY,TAB,900
19-02-2023,INDIA,PHONE,916
19-02-2023,INDIA,IPHONE,270
20-02-2023,UK,IPHONE,794
20-02-2023,INDIA,TAB,261
20-02-2023,UK,PHONE,185
20-02-2023,GERMANY,TAB,998
21-02-2023,INDIA,TV,325
