DATE,COUNTRY,PRODUCT,SALES
01-01-2022,US,IPHONE,666
01-01-2022,US,TAB,447
01-01-2022,UK,TV,492
01-01-2022,INDIA,TV,635
01-01-2022,US,TAB,430
01-01-2022,GERMANY,TAB,97
02-01-2022,INDIA,SPEAKERS,279
03-01-2022,UK,SPEAKERS,79
03-01-2022,UK,SPEAKERS,659
03-01-2022,US,IPHONE,475
03-01-2022,US,IPHONE,197
04-01-2022,GERMANY,TAB,576
05-01-2022,UK,PHONE,772
05-01-2022,INDIA,PHONE,426
05-01-2022,UK,TAB,993
06-01-2022,INDIA,IPHONE,17
06-01-2022,GERMANY,IPHONE,137
06-01-2022,GERMANY,TAB,133
06-01-2022,UK,IPHONE,380
07-01-2022,GERMANY,SPEAKERS,353
07-01-2022,UK,TV,853
08-01-2022,GERMANY,TAB,530
09-01-2022,GERMANY,SPEAKERS,830
09-01-2022,US,TV,1748
10-01-2022,INDIA,TV,351
10-01-2022,GERMANY,TV,9
10-01-2022,INDIA,TAB,398
10-01-2022,INDIA,TAB,796
10-01-2022,UK,PHONE,621
11-01-2022,UK,TAB,790
11-01-2022,INDIA,TV,274
11-01-2022,US,SPEAKERS,118
11-01-2022,UK,IPHONE,3
11-01-2022,UK,SPEAKERS,977
11-01-2022,UK,SPEAKERS,756
12-01-2022,INDIA,TAB,347
12-01-2022,US,TV,465
12-01-2022,US,PHONE,517
13-01-2022,US,SPEAKERS,921
14-01-2022,GERMANY,IPHONE,459
14-01-2022,US,IPHONE,879
14-01-2022,US,IPHONE,680
14-01-2022,INDIA,TAB,491
15-01-2022,US,PHONE,746
15-01-2022,UK,SPEAKERS,710
15-01-2022,GERMANY,IPHONE,171
15-01-2022,GERMANY,PHONE,539
15-01-2022,US,TAB,280
16-01-2022,GERMANY,TAB,675
16-01-2022,US,PHONE,969
16-01-2022,UK,SPEAKERS,637
16-01-2022,US,TAB,128
18-01-2022,US,PHONE,169
18-01-2022,GERMANY,TV,736
19-01-2022,US,PHONE,995
19-01-2022,GERMANY,IPHONE,215
19-01-2022,UK,IPHONE,199
19-01-2022,US,IPHONE,620
20-01-2022,UK,SPEAKERS,700
22-01-2022,UK,TAB,167
23-01-2022,GERMANY,IPHONE,173
23-01-2022,UK,IPHONE,694
24-01-2022,GERMANY,PHONE,227
24-01-2022,INDIA,SPEAKERS,341
25-01-2022,UK,TV,261
26-01-2022,GERMANY,TV,536
26-01-2022,UK,SPEAKERS,837
26-01-2022,UK,SPEAKERS,873
27-01-2022,UK,SPEAKERS,406
28-01-2022,INDIA,IPHONE,766
28-01-2022,GERMANY,TV,883
29-01-2022,US,TAB,483
29-01-2022,INDIA,SPEAKERS,346
29-01-2022,GERMANY,IPHONE,696
29-01-2022,UK,TV,559
30-01-2022,INDIA,IPHONE,969
31-01-2022,INDIA,IPHONE,915
31-01-2022,UK,TV,646
31-01-2022,INDIA,IPHONE,295
31-01-2022,INDIA,PHONE,916
31-01-2022,UK,TV,880
01-02-2022,GERMANY,PHONE,228
02-02-2022,INDIA,TV,309
02-02-2022,INDIA,IPHONE,673
02-02-2022,US,TV,363
02-02-2022,US,TV,360
03-02-2022,US,TV,837
04-02-2022,US,TAB,850
04-02-2022,UK,IPHONE,43
04-02-2022,INDIA,TV,892
05-02-2022,US,SPEAKERS,661
05-02-2022,US,TV,586
06-02-2022,GERMANY,IPHONE,969
06-02-2022,UK,SPEAKERS,849
07-02-2022,US,PHONE,810
07-02-2022,INDIA,TV,522
08-02-2022,UK,IPHONE,83
08-02-2022,US,TAB,78
08-02-2022,UK,TAB,587
09-02-2022,US,TV,854
10-02-2022,GERMANY,IPHONE,529
10-02-2022,US,PHONE,215
10-02-2022,GERMANY,PHONE,282
10-02-2022,UK,TV,342
11-02-2022,INDIA,IPHONE,49
11-02-2022,UK,IPHONE,741
11-02-2022,INDIA,TAB,230
